sequence_id,prediction,confidence
sco_10004at7157_Anopheles_arabiensis,sco10004at7157,1.0
sco_10005at7157_Anopheles_arabiensis,sco10005at7157,1.0
sco_10008at7157_Anopheles_arabiensis,sco10008at7157,1.0
sco_10030at7157_Anopheles_arabiensis,sco10030at7157,1.0
sco_10050at7157_Anopheles_arabiensis,sco10050at7157,1.0
sco_10069at7157_Anopheles_arabiensis,sco10069at7157,1.0
sco_10072at7157_Anopheles_arabiensis,sco10072at7157,1.0
sco_10078at7157_Anopheles_arabiensis,sco10078at7157,1.0
sco_10091at7157_Anopheles_arabiensis,sco10091at7157,1.0
sco_10092at7157_Anopheles_arabiensis,sco10092at7157,1.0
sco_1009at7157_Anopheles_arabiensis,sco1009at7157,1.0
sco_10110at7157_Anopheles_arabiensis,sco10110at7157,1.0
sco_10113at7157_Anopheles_arabiensis,sco10113at7157,1.0
sco_10114at7157_Anopheles_arabiensis,sco10114at7157,1.0
sco_10121at7157_Anopheles_arabiensis,sco10121at7157,1.0
sco_10123at7157_Anopheles_arabiensis,sco10123at7157,1.0
sco_10137at7157_Anopheles_arabiensis,sco10137at7157,1.0
sco_10145at7157_Anopheles_arabiensis,sco10145at7157,1.0
sco_1014at7157_Anopheles_arabiensis,sco1014at7157,1.0
sco_10162at7157_Anopheles_arabiensis,sco10162at7157,1.0
sco_10180at7157_Anopheles_arabiensis,sco10180at7157,1.0
sco_10193at7157_Anopheles_arabiensis,sco10193at7157,1.0
sco_10203at7157_Anopheles_arabiensis,sco10203at7157,1.0
sco_10208at7157_Anopheles_arabiensis,sco10208at7157,1.0
sco_10209at7157_Anopheles_arabiensis,sco10209at7157,1.0
sco_10212at7157_Anopheles_arabiensis,sco10212at7157,1.0
sco_10216at7157_Anopheles_arabiensis,sco10216at7157,1.0
sco_10220at7157_Anopheles_arabiensis,sco10220at7157,1.0
sco_10223at7157_Anopheles_arabiensis,sco10223at7157,1.0
sco_10227at7157_Anopheles_arabiensis,sco10227at7157,1.0
sco_10228at7157_Anopheles_arabiensis,sco10228at7157,1.0
sco_10231at7157_Anopheles_arabiensis,sco10231at7157,1.0
sco_10233at7157_Anopheles_arabiensis,sco10233at7157,1.0
sco_10245at7157_Anopheles_arabiensis,sco10245at7157,1.0
sco_10256at7157_Anopheles_arabiensis,sco10256at7157,1.0
sco_10260at7157_Anopheles_arabiensis,sco10260at7157,1.0
sco_10265at7157_Anopheles_arabiensis,sco10265at7157,1.0
sco_10267at7157_Anopheles_arabiensis,sco10267at7157,1.0
sco_10280at7157_Anopheles_arabiensis,sco10280at7157,1.0
sco_10289at7157_Anopheles_arabiensis,sco10289at7157,1.0
sco_10295at7157_Anopheles_arabiensis,sco10295at7157,1.0
sco_10299at7157_Anopheles_arabiensis,sco10299at7157,1.0
sco_1029at7157_Anopheles_arabiensis,sco1029at7157,1.0
sco_10301at7157_Anopheles_arabiensis,sco10301at7157,1.0
sco_10307at7157_Anopheles_arabiensis,sco10307at7157,1.0
sco_10311at7157_Anopheles_arabiensis,sco10311at7157,1.0
sco_10313at7157_Anopheles_arabiensis,sco10313at7157,1.0
sco_10321at7157_Anopheles_arabiensis,sco10321at7157,1.0
sco_10336at7157_Anopheles_arabiensis,sco10336at7157,1.0
sco_10338at7157_Anopheles_arabiensis,sco10338at7157,1.0
sco_10342at7157_Anopheles_arabiensis,sco10342at7157,1.0
sco_10348at7157_Anopheles_arabiensis,sco10348at7157,1.0
sco_10351at7157_Anopheles_arabiensis,sco10351at7157,1.0
sco_10362at7157_Anopheles_arabiensis,sco10362at7157,1.0
sco_10369at7157_Anopheles_arabiensis,sco10369at7157,1.0
sco_10379at7157_Anopheles_arabiensis,sco10379at7157,1.0
sco_10384at7157_Anopheles_arabiensis,sco10384at7157,1.0
sco_10392at7157_Anopheles_arabiensis,sco10392at7157,1.0
sco_10394at7157_Anopheles_arabiensis,sco10394at7157,1.0
sco_103at7157_Anopheles_arabiensis,sco103at7157,1.0
sco_10417at7157_Anopheles_arabiensis,sco10417at7157,1.0
sco_10438at7157_Anopheles_arabiensis,sco10438at7157,1.0
sco_10463at7157_Anopheles_arabiensis,sco10463at7157,1.0
sco_10466at7157_Anopheles_arabiensis,sco10466at7157,1.0
sco_10472at7157_Anopheles_arabiensis,sco10472at7157,1.0
sco_10474at7157_Anopheles_arabiensis,sco10474at7157,1.0
sco_10475at7157_Anopheles_arabiensis,sco10475at7157,1.0
sco_1051at7157_Anopheles_arabiensis,sco1051at7157,1.0
sco_10520at7157_Anopheles_arabiensis,sco10520at7157,1.0
sco_10548at7157_Anopheles_arabiensis,sco10548at7157,1.0
sco_1055at7157_Anopheles_arabiensis,sco1055at7157,1.0
sco_10567at7157_Anopheles_arabiensis,sco10567at7157,1.0
sco_10568at7157_Anopheles_arabiensis,sco10568at7157,1.0
sco_10570at7157_Anopheles_arabiensis,sco10570at7157,1.0
sco_10585at7157_Anopheles_arabiensis,sco10585at7157,1.0
sco_10594at7157_Anopheles_arabiensis,sco10594at7157,1.0
sco_10613at7157_Anopheles_arabiensis,sco10613at7157,1.0
sco_10615at7157_Anopheles_arabiensis,sco10615at7157,1.0
sco_10618at7157_Anopheles_arabiensis,sco10618at7157,1.0
sco_10630at7157_Anopheles_arabiensis,sco10630at7157,1.0
sco_10642at7157_Anopheles_arabiensis,sco10642at7157,1.0
sco_10696at7157_Anopheles_arabiensis,sco10696at7157,1.0
sco_10698at7157_Anopheles_arabiensis,sco10698at7157,1.0
sco_10699at7157_Anopheles_arabiensis,sco10699at7157,1.0
sco_10702at7157_Anopheles_arabiensis,sco10702at7157,1.0
sco_10704at7157_Anopheles_arabiensis,sco10704at7157,1.0
sco_10718at7157_Anopheles_arabiensis,sco10718at7157,1.0
sco_10719at7157_Anopheles_arabiensis,sco10719at7157,1.0
sco_10721at7157_Anopheles_arabiensis,sco10721at7157,1.0
sco_10722at7157_Anopheles_arabiensis,sco10722at7157,1.0
sco_10743at7157_Anopheles_arabiensis,sco10743at7157,1.0
sco_10757at7157_Anopheles_arabiensis,sco10757at7157,1.0
sco_1075at7157_Anopheles_arabiensis,sco1075at7157,1.0
sco_10766at7157_Anopheles_arabiensis,sco10766at7157,1.0
sco_10771at7157_Anopheles_arabiensis,sco10771at7157,1.0
sco_10786at7157_Anopheles_arabiensis,sco10786at7157,1.0
sco_10791at7157_Anopheles_arabiensis,sco10791at7157,1.0
sco_10803at7157_Anopheles_arabiensis,sco10803at7157,1.0
sco_10823at7157_Anopheles_arabiensis,sco10823at7157,1.0
sco_10829at7157_Anopheles_arabiensis,sco10829at7157,1.0
sco_10839at7157_Anopheles_arabiensis,sco10839at7157,1.0
sco_10843at7157_Anopheles_arabiensis,sco10843at7157,1.0
sco_1085at7157_Anopheles_arabiensis,sco1085at7157,1.0
