sequence_id,prediction,confidence
sco_10004at7157_Aedes_aegypti,sco10004at7157,1.0
sco_10005at7157_Aedes_aegypti,sco10005at7157,1.0
sco_10008at7157_Aedes_aegypti,sco10008at7157,1.0
sco_10030at7157_Aedes_aegypti,sco10030at7157,1.0
sco_10050at7157_Aedes_aegypti,sco10050at7157,1.0
sco_10072at7157_Aedes_aegypti,sco10072at7157,1.0
sco_10078at7157_Aedes_aegypti,sco10078at7157,1.0
sco_10091at7157_Aedes_aegypti,sco10091at7157,1.0
sco_10092at7157_Aedes_aegypti,sco10092at7157,1.0
sco_1009at7157_Aedes_aegypti,sco1009at7157,0.6314625
sco_10110at7157_Aedes_aegypti,sco10110at7157,1.0
sco_10113at7157_Aedes_aegypti,sco10113at7157,1.0
sco_10114at7157_Aedes_aegypti,sco10114at7157,1.0
sco_10121at7157_Aedes_aegypti,sco10121at7157,1.0
sco_10123at7157_Aedes_aegypti,sco10123at7157,1.0
sco_10137at7157_Aedes_aegypti,sco10137at7157,1.0
sco_10145at7157_Aedes_aegypti,sco10145at7157,1.0
sco_1014at7157_Aedes_aegypti,sco1014at7157,1.0
sco_10162at7157_Aedes_aegypti,sco10162at7157,1.0
sco_10180at7157_Aedes_aegypti,sco10180at7157,1.0
sco_10193at7157_Aedes_aegypti,sco10193at7157,1.0
sco_10203at7157_Aedes_aegypti,sco10203at7157,1.0
sco_10208at7157_Aedes_aegypti,sco10208at7157,1.0
sco_10209at7157_Aedes_aegypti,sco10209at7157,1.0
sco_10212at7157_Aedes_aegypti,sco10212at7157,1.0
sco_10216at7157_Aedes_aegypti,sco10216at7157,1.0
sco_10220at7157_Aedes_aegypti,sco10220at7157,1.0
sco_10223at7157_Aedes_aegypti,sco10223at7157,1.0
sco_10227at7157_Aedes_aegypti,sco10227at7157,1.0
sco_10228at7157_Aedes_aegypti,sco10228at7157,1.0
sco_10229at7157_Aedes_aegypti,sco10229at7157,1.0
sco_10231at7157_Aedes_aegypti,sco10231at7157,1.0
sco_10233at7157_Aedes_aegypti,sco10233at7157,1.0
sco_10245at7157_Aedes_aegypti,sco10245at7157,1.0
sco_10256at7157_Aedes_aegypti,sco10256at7157,1.0
sco_10260at7157_Aedes_aegypti,sco10260at7157,1.0
sco_10265at7157_Aedes_aegypti,sco10265at7157,1.0
sco_10267at7157_Aedes_aegypti,sco10267at7157,1.0
sco_10280at7157_Aedes_aegypti,sco10280at7157,1.0
sco_10289at7157_Aedes_aegypti,sco10289at7157,1.0
sco_10295at7157_Aedes_aegypti,sco10295at7157,1.0
sco_10299at7157_Aedes_aegypti,sco10299at7157,1.0
sco_1029at7157_Aedes_aegypti,sco1029at7157,1.0
sco_10301at7157_Aedes_aegypti,sco10301at7157,1.0
sco_10307at7157_Aedes_aegypti,sco10307at7157,0.99926394
sco_10311at7157_Aedes_aegypti,sco10311at7157,1.0
sco_10313at7157_Aedes_aegypti,sco10313at7157,1.0
sco_10321at7157_Aedes_aegypti,sco10321at7157,1.0
sco_10336at7157_Aedes_aegypti,sco10336at7157,1.0
sco_10338at7157_Aedes_aegypti,sco10338at7157,1.0
sco_10342at7157_Aedes_aegypti,sco10342at7157,1.0
sco_10348at7157_Aedes_aegypti,sco10348at7157,1.0
sco_10351at7157_Aedes_aegypti,sco10351at7157,1.0
sco_10362at7157_Aedes_aegypti,sco10362at7157,1.0
sco_10369at7157_Aedes_aegypti,sco10369at7157,1.0
sco_10379at7157_Aedes_aegypti,sco10379at7157,1.0
sco_10384at7157_Aedes_aegypti,sco10384at7157,1.0
sco_10392at7157_Aedes_aegypti,sco10392at7157,1.0
sco_10394at7157_Aedes_aegypti,sco10394at7157,1.0
sco_103at7157_Aedes_aegypti,sco103at7157,1.0
sco_10417at7157_Aedes_aegypti,sco10417at7157,1.0
sco_10438at7157_Aedes_aegypti,sco10438at7157,1.0
sco_10463at7157_Aedes_aegypti,sco10463at7157,1.0
sco_10466at7157_Aedes_aegypti,sco10466at7157,1.0
sco_10472at7157_Aedes_aegypti,sco10472at7157,1.0
sco_10474at7157_Aedes_aegypti,sco10474at7157,1.0
sco_10475at7157_Aedes_aegypti,sco10475at7157,1.0
sco_1051at7157_Aedes_aegypti,sco1051at7157,1.0
sco_10520at7157_Aedes_aegypti,sco10520at7157,1.0
sco_1055at7157_Aedes_aegypti,sco1055at7157,1.0
sco_10567at7157_Aedes_aegypti,sco10567at7157,1.0
sco_10570at7157_Aedes_aegypti,sco10570at7157,1.0
sco_10585at7157_Aedes_aegypti,sco10585at7157,1.0
sco_10594at7157_Aedes_aegypti,sco10594at7157,1.0
sco_10613at7157_Aedes_aegypti,sco10613at7157,1.0
sco_10615at7157_Aedes_aegypti,sco10615at7157,1.0
sco_10618at7157_Aedes_aegypti,sco10618at7157,1.0
sco_10630at7157_Aedes_aegypti,sco10630at7157,1.0
sco_10642at7157_Aedes_aegypti,sco10642at7157,1.0
sco_10696at7157_Aedes_aegypti,sco10696at7157,1.0
sco_10698at7157_Aedes_aegypti,sco10698at7157,1.0
sco_10702at7157_Aedes_aegypti,sco10702at7157,1.0
sco_10704at7157_Aedes_aegypti,sco10704at7157,1.0
sco_10718at7157_Aedes_aegypti,sco10718at7157,1.0
sco_10719at7157_Aedes_aegypti,sco10719at7157,1.0
sco_10721at7157_Aedes_aegypti,sco10721at7157,1.0
sco_10722at7157_Aedes_aegypti,sco10722at7157,1.0
sco_10730at7157_Aedes_aegypti,sco10730at7157,1.0
sco_10743at7157_Aedes_aegypti,sco10743at7157,1.0
sco_10757at7157_Aedes_aegypti,sco10757at7157,1.0
sco_1075at7157_Aedes_aegypti,sco1075at7157,1.0
sco_10766at7157_Aedes_aegypti,sco10766at7157,1.0
sco_10771at7157_Aedes_aegypti,sco10771at7157,1.0
sco_10786at7157_Aedes_aegypti,sco10786at7157,1.0
sco_10791at7157_Aedes_aegypti,sco10791at7157,1.0
sco_10803at7157_Aedes_aegypti,sco10803at7157,1.0
sco_10823at7157_Aedes_aegypti,sco10823at7157,1.0
sco_10829at7157_Aedes_aegypti,sco10829at7157,1.0
