sequence_id,prediction,confidence
sco_10004at7157_Anopheles_sinensis,sco10004at7157,1.0
sco_10005at7157_Anopheles_sinensis,sco10005at7157,1.0
sco_10030at7157_Anopheles_sinensis,sco10030at7157,1.0
sco_10050at7157_Anopheles_sinensis,sco10050at7157,1.0
sco_10069at7157_Anopheles_sinensis,sco10069at7157,1.0
sco_10072at7157_Anopheles_sinensis,sco10072at7157,1.0
sco_10078at7157_Anopheles_sinensis,sco10078at7157,1.0
sco_10091at7157_Anopheles_sinensis,sco10091at7157,1.0
sco_10092at7157_Anopheles_sinensis,sco10092at7157,1.0
sco_1009at7157_Anopheles_sinensis,sco1009at7157,1.0
sco_10110at7157_Anopheles_sinensis,sco10110at7157,1.0
sco_10113at7157_Anopheles_sinensis,sco10113at7157,1.0
sco_10114at7157_Anopheles_sinensis,sco10114at7157,1.0
sco_10121at7157_Anopheles_sinensis,sco10121at7157,1.0
sco_10123at7157_Anopheles_sinensis,sco10123at7157,1.0
sco_10137at7157_Anopheles_sinensis,sco10137at7157,1.0
sco_10145at7157_Anopheles_sinensis,sco10145at7157,1.0
sco_1014at7157_Anopheles_sinensis,sco1014at7157,1.0
sco_10180at7157_Anopheles_sinensis,sco10180at7157,1.0
sco_10193at7157_Anopheles_sinensis,sco10193at7157,1.0
sco_10203at7157_Anopheles_sinensis,sco10203at7157,1.0
sco_10208at7157_Anopheles_sinensis,sco10208at7157,1.0
sco_10209at7157_Anopheles_sinensis,sco10209at7157,1.0
sco_10212at7157_Anopheles_sinensis,sco10212at7157,1.0
sco_10216at7157_Anopheles_sinensis,sco10216at7157,1.0
sco_10220at7157_Anopheles_sinensis,sco10220at7157,1.0
sco_10223at7157_Anopheles_sinensis,sco10223at7157,1.0
sco_10227at7157_Anopheles_sinensis,sco10227at7157,1.0
sco_10228at7157_Anopheles_sinensis,sco10228at7157,1.0
sco_10229at7157_Anopheles_sinensis,sco10229at7157,1.0
sco_10231at7157_Anopheles_sinensis,sco10231at7157,1.0
sco_10233at7157_Anopheles_sinensis,sco10233at7157,1.0
sco_10256at7157_Anopheles_sinensis,sco10256at7157,1.0
sco_10265at7157_Anopheles_sinensis,sco10265at7157,1.0
sco_10267at7157_Anopheles_sinensis,sco10267at7157,1.0
sco_10280at7157_Anopheles_sinensis,sco10280at7157,1.0
sco_10289at7157_Anopheles_sinensis,sco10289at7157,1.0
sco_10295at7157_Anopheles_sinensis,sco10295at7157,1.0
sco_10299at7157_Anopheles_sinensis,sco10299at7157,1.0
sco_1029at7157_Anopheles_sinensis,sco1029at7157,1.0
sco_10301at7157_Anopheles_sinensis,sco10301at7157,1.0
sco_10307at7157_Anopheles_sinensis,sco10307at7157,1.0
sco_10311at7157_Anopheles_sinensis,sco10311at7157,1.0
sco_10313at7157_Anopheles_sinensis,sco10313at7157,1.0
sco_10321at7157_Anopheles_sinensis,sco10321at7157,1.0
sco_10336at7157_Anopheles_sinensis,sco10336at7157,1.0
sco_10338at7157_Anopheles_sinensis,sco10338at7157,1.0
sco_10342at7157_Anopheles_sinensis,sco10342at7157,1.0
sco_10362at7157_Anopheles_sinensis,sco10362at7157,1.0
sco_10369at7157_Anopheles_sinensis,sco10369at7157,1.0
sco_10379at7157_Anopheles_sinensis,sco10379at7157,1.0
sco_10384at7157_Anopheles_sinensis,sco10384at7157,1.0
sco_10392at7157_Anopheles_sinensis,sco10392at7157,1.0
sco_10394at7157_Anopheles_sinensis,sco10394at7157,1.0
sco_10417at7157_Anopheles_sinensis,sco10417at7157,1.0
sco_10438at7157_Anopheles_sinensis,sco10438at7157,1.0
sco_10466at7157_Anopheles_sinensis,sco10466at7157,1.0
sco_10474at7157_Anopheles_sinensis,sco10474at7157,1.0
sco_10475at7157_Anopheles_sinensis,sco10475at7157,1.0
sco_1051at7157_Anopheles_sinensis,sco1051at7157,1.0
sco_10548at7157_Anopheles_sinensis,sco10548at7157,1.0
sco_1055at7157_Anopheles_sinensis,sco1055at7157,1.0
sco_10567at7157_Anopheles_sinensis,sco10567at7157,1.0
sco_10568at7157_Anopheles_sinensis,sco10568at7157,1.0
sco_10570at7157_Anopheles_sinensis,sco10570at7157,1.0
sco_10585at7157_Anopheles_sinensis,sco10585at7157,1.0
sco_10594at7157_Anopheles_sinensis,sco10594at7157,1.0
sco_10613at7157_Anopheles_sinensis,sco10613at7157,1.0
sco_10615at7157_Anopheles_sinensis,sco10615at7157,1.0
sco_10618at7157_Anopheles_sinensis,sco10618at7157,1.0
sco_10642at7157_Anopheles_sinensis,sco10642at7157,1.0
sco_10698at7157_Anopheles_sinensis,sco10698at7157,1.0
sco_10699at7157_Anopheles_sinensis,sco10699at7157,1.0
sco_10702at7157_Anopheles_sinensis,sco10702at7157,1.0
sco_10704at7157_Anopheles_sinensis,sco10704at7157,1.0
sco_10718at7157_Anopheles_sinensis,sco10718at7157,1.0
sco_10719at7157_Anopheles_sinensis,sco10719at7157,1.0
sco_10721at7157_Anopheles_sinensis,sco10721at7157,1.0
sco_10722at7157_Anopheles_sinensis,sco10722at7157,1.0
sco_10730at7157_Anopheles_sinensis,sco10730at7157,1.0
sco_10743at7157_Anopheles_sinensis,sco10743at7157,1.0
sco_10757at7157_Anopheles_sinensis,sco10757at7157,1.0
sco_1075at7157_Anopheles_sinensis,sco44557at7157,0.55999434
sco_10766at7157_Anopheles_sinensis,sco10766at7157,1.0
sco_10786at7157_Anopheles_sinensis,sco10786at7157,1.0
sco_10791at7157_Anopheles_sinensis,sco10791at7157,1.0
sco_10823at7157_Anopheles_sinensis,sco10823at7157,1.0
sco_10839at7157_Anopheles_sinensis,sco10839at7157,1.0
sco_10843at7157_Anopheles_sinensis,sco10843at7157,1.0
sco_1085at7157_Anopheles_sinensis,sco1085at7157,1.0
sco_1086at7157_Anopheles_sinensis,sco1086at7157,1.0
sco_10871at7157_Anopheles_sinensis,sco10871at7157,1.0
sco_10878at7157_Anopheles_sinensis,sco10878at7157,1.0
sco_10881at7157_Anopheles_sinensis,sco10881at7157,1.0
sco_10898at7157_Anopheles_sinensis,sco10898at7157,1.0
sco_10909at7157_Anopheles_sinensis,sco10909at7157,1.0
sco_1091at7157_Anopheles_sinensis,sco1091at7157,1.0
sco_10924at7157_Anopheles_sinensis,sco10924at7157,1.0
sco_1092at7157_Anopheles_sinensis,sco1092at7157,1.0
sco_10952at7157_Anopheles_sinensis,sco10952at7157,1.0
sco_10962at7157_Anopheles_sinensis,sco10962at7157,1.0
sco_10964at7157_Anopheles_sinensis,sco10964at7157,1.0
sco_10967at7157_Anopheles_sinensis,sco10967at7157,1.0
sco_10968at7157_Anopheles_sinensis,sco25453at7157,1.0
sco_10979at7157_Anopheles_sinensis,sco10979at7157,1.0
sco_10982at7157_Anopheles_sinensis,sco10982at7157,1.0
sco_10984at7157_Anopheles_sinensis,sco10984at7157,1.0
sco_10996at7157_Anopheles_sinensis,sco10996at7157,1.0
sco_1100at7157_Anopheles_sinensis,sco1100at7157,1.0
sco_11014at7157_Anopheles_sinensis,sco11014at7157,1.0
sco_11022at7157_Anopheles_sinensis,sco11022at7157,1.0
sco_11026at7157_Anopheles_sinensis,sco11026at7157,1.0
sco_11028at7157_Anopheles_sinensis,sco11028at7157,1.0
sco_11039at7157_Anopheles_sinensis,sco11039at7157,1.0
sco_11043at7157_Anopheles_sinensis,sco11043at7157,1.0
sco_11058at7157_Anopheles_sinensis,sco11058at7157,1.0
sco_11063at7157_Anopheles_sinensis,sco11063at7157,1.0
sco_11065at7157_Anopheles_sinensis,sco11065at7157,1.0
sco_11068at7157_Anopheles_sinensis,sco11068at7157,1.0
sco_11074at7157_Anopheles_sinensis,sco11074at7157,1.0
sco_11085at7157_Anopheles_sinensis,sco11085at7157,1.0
sco_11089at7157_Anopheles_sinensis,sco11089at7157,1.0
sco_11102at7157_Anopheles_sinensis,sco11102at7157,1.0
sco_11105at7157_Anopheles_sinensis,sco11105at7157,1.0
sco_11108at7157_Anopheles_sinensis,sco11108at7157,1.0
sco_11120at7157_Anopheles_sinensis,sco11120at7157,1.0
sco_11121at7157_Anopheles_sinensis,sco11121at7157,1.0
sco_11123at7157_Anopheles_sinensis,sco11123at7157,1.0
sco_11128at7157_Anopheles_sinensis,sco11128at7157,1.0
sco_11129at7157_Anopheles_sinensis,sco11129at7157,1.0
sco_11136at7157_Anopheles_sinensis,sco11136at7157,1.0
sco_11145at7157_Anopheles_sinensis,sco11145at7157,1.0
sco_1114at7157_Anopheles_sinensis,sco1114at7157,1.0
sco_11158at7157_Anopheles_sinensis,sco11158at7157,1.0
sco_11159at7157_Anopheles_sinensis,sco11159at7157,1.0
sco_11167at7157_Anopheles_sinensis,sco11167at7157,1.0
sco_11181at7157_Anopheles_sinensis,sco11181at7157,1.0
sco_11182at7157_Anopheles_sinensis,sco11182at7157,1.0
sco_11186at7157_Anopheles_sinensis,sco11186at7157,1.0
sco_11205at7157_Anopheles_sinensis,sco11205at7157,1.0
sco_11211at7157_Anopheles_sinensis,sco11211at7157,1.0
sco_11214at7157_Anopheles_sinensis,sco11214at7157,1.0
sco_11239at7157_Anopheles_sinensis,sco11239at7157,1.0
sco_11241at7157_Anopheles_sinensis,sco11241at7157,1.0
sco_11243at7157_Anopheles_sinensis,sco11243at7157,1.0
sco_11244at7157_Anopheles_sinensis,sco11244at7157,1.0
sco_11255at7157_Anopheles_sinensis,sco11255at7157,1.0
sco_11312at7157_Anopheles_sinensis,sco11312at7157,1.0
sco_11314at7157_Anopheles_sinensis,sco11314at7157,1.0
sco_11339at7157_Anopheles_sinensis,sco11339at7157,1.0
sco_11352at7157_Anopheles_sinensis,sco11352at7157,1.0
sco_11356at7157_Anopheles_sinensis,sco11356at7157,1.0
sco_11378at7157_Anopheles_sinensis,sco11378at7157,1.0
sco_11380at7157_Anopheles_sinensis,sco11380at7157,1.0
sco_11381at7157_Anopheles_sinensis,sco11381at7157,1.0
sco_11385at7157_Anopheles_sinensis,sco11385at7157,1.0
sco_11414at7157_Anopheles_sinensis,sco11414at7157,1.0
sco_11417at7157_Anopheles_sinensis,sco11417at7157,1.0
sco_11419at7157_Anopheles_sinensis,sco11419at7157,1.0
sco_11421at7157_Anopheles_sinensis,sco11421at7157,1.0
sco_11444at7157_Anopheles_sinensis,sco11444at7157,1.0
sco_1145at7157_Anopheles_sinensis,sco1145at7157,1.0
sco_11470at7157_Anopheles_sinensis,sco11470at7157,1.0
sco_11476at7157_Anopheles_sinensis,sco11476at7157,1.0
sco_11482at7157_Anopheles_sinensis,sco11482at7157,1.0
sco_11488at7157_Anopheles_sinensis,sco11488at7157,1.0
sco_11531at7157_Anopheles_sinensis,sco11531at7157,1.0
sco_11547at7157_Anopheles_sinensis,sco39293at7157,0.9194563
sco_11556at7157_Anopheles_sinensis,sco11556at7157,1.0
sco_11557at7157_Anopheles_sinensis,sco11557at7157,1.0
sco_1155at7157_Anopheles_sinensis,sco1155at7157,1.0
sco_11578at7157_Anopheles_sinensis,sco11578at7157,1.0
sco_11582at7157_Anopheles_sinensis,sco11582at7157,1.0
sco_11586at7157_Anopheles_sinensis,sco11586at7157,1.0
sco_11591at7157_Anopheles_sinensis,sco11591at7157,1.0
sco_11594at7157_Anopheles_sinensis,sco11594at7157,1.0
sco_11601at7157_Anopheles_sinensis,sco11601at7157,1.0
sco_11610at7157_Anopheles_sinensis,sco11610at7157,1.0
sco_1161at7157_Anopheles_sinensis,sco1161at7157,1.0
sco_11621at7157_Anopheles_sinensis,sco11621at7157,1.0
sco_11626at7157_Anopheles_sinensis,sco11626at7157,1.0
sco_1163at7157_Anopheles_sinensis,sco1163at7157,1.0
sco_11641at7157_Anopheles_sinensis,sco11641at7157,1.0
sco_11645at7157_Anopheles_sinensis,sco11645at7157,1.0
sco_11647at7157_Anopheles_sinensis,sco11647at7157,1.0
sco_11648at7157_Anopheles_sinensis,sco11648at7157,1.0
